Sujeto,Relación,Objeto
Diego Barros Arana,autor de,Historia Jeneral de Chile
Historia Jeneral de Chile,tomo,XIV
Historia Jeneral de Chile,editorial,"V. Jover, Josefina M. de Editora"
Historia Jeneral de Chile,lugar de publicación,Santiago
Historia Jeneral de Chile,año de publicación,1897
Historia Jeneral de Chile,imprenta,Imprenta Cervantes
Imprenta Cervantes,ubicación,"Santiago, Bandera, 73"
Junta gubernativa de Santiago,fecha de proclamación,28 de enero de 1823
Mariano Egaña,cargo de trabajo,Ministro de gobierno y marina
Agustín Vial,cargo de trabajo,Ministro de hacienda y guerra
Bernardo O'Higgins,cargo de trabajo,Director Supremo de Chile
Bernardo O'Higgins,fecha de abdicación,28 de enero de 1823
Ramón Freire,cargo militar,General
José Zenteno,cargo de trabajo,Gobernador de Valparaíso
Joaquín Prieto,cargo militar,Mariscal de campo
Pedro Ramón Arriagada,cargo militar,Coronel comandante
José Antonio de la Cruz,cargo militar,Comandante del batallón n° 7
Domingo Urrutia,cargo militar,Comandante
Antonio Mendiburu,relación de amistad con,Bernardo O'Higgins
Camilo Henríquez,publicación en,Mercurio de Chileno
Terremoto de Valparaíso,fecha de ocurrencia,noviembre de 1822
Jura de la nueva constitución en Valparaíso,fecha de ocurrencia,22 de diciembre de 1822
Cabildo abierto de Valparaíso,fecha de celebración,29 de enero de 1823
Amotinamiento del escuadrón de dragones,fecha de ocurrencia,30 de enero de 1823
Amotinamiento del batallón n° 7,fecha de ocurrencia,30 de enero de 1823
Amotinamiento del escuadrón de carabineros,fecha de ocurrencia,31 de enero de 1823
Rancagua,lugar de acantonamiento de,tropas bajo mando de Joaquín Prieto
Valparaíso,ubicación del cargo de,José Zenteno como gobernador
Santiago,lugar de instalación de,Junta gubernativa en enero de 1823
Concepción,provincia con,asamblea provincial en 1823
Coquimbo,provincia con,asamblea provincial reunida en La Serena
La Serena,lugar de reunión de,asamblea provincial de Coquimbo
Perú,destino de,auxilio militar solicitado por Chile
Capitán Barbosa,responsable de,sublevación del escuadrón de dragones
Teniente Fernández,responsable de,sublevación del escuadrón de carabineros
Francisco Borcosqui,cargo militar,Capitán de partidas de avanzada
Río Cachapoal,ubicación geográfica cercana a,San Fernando y Curicó
San Fernando,lugar de,desórdenes y bandas armadas en enero-febrero de 1823
Curicó,lugar de,desórdenes y bandas armadas en enero-febrero de 1823
Talca,incorporación a,provincia de Concepción
Quillota,lugar de pronunciamiento por,causa de la revolución en diciembre de 1822
Aconcagua,lugar de avance de,fuerzas colectivas de Coquimbo
